,x0,x1,counts
156,Ivanovna,Katerina,8.599999999999985
408,Pyotr,Petrovitch,6.8999999999999915
441,Avdotya,Romanovna,5.999999999999995
470,Rodion,Romanovitch,5.599999999999996
319,Sonia,Raskolnikov,5.399999999999997
430,Petrovitch,Raskolnikov,5.299999999999997
510,Raskolnikov,Porfiry,4.699999999999999
558,Pulcheria,Alexandrovna,4.5
261,Sofya,Semyonovna,4.300000000000001
160,Ivanovna,Sonia,4.100000000000001
435,Petrovitch,Porfiry,4.000000000000002
213,Katerina,Sonia,3.700000000000002
172,Ivanovna,Raskolnikov,3.700000000000002
371,Marfa,Petrovna,3.600000000000002
429,Petrovitch,Good,3.0000000000000013
157,Ivanovna,Amalia,2.700000000000001
225,Katerina,Raskolnikov,2.600000000000001
318,Sonia,Good,2.2000000000000006
210,Katerina,Amalia,2.1000000000000005
359,God,Good,2.0000000000000004
431,Petrovitch,Ilya,1.9000000000000006
472,Rodion,Raskolnikov,1.8000000000000005
171,Ivanovna,Good,1.8000000000000005
414,Pyotr,Raskolnikov,1.7000000000000004
484,Romanovitch,Raskolnikov,1.6000000000000003
166,Ivanovna,Petrovitch,1.6000000000000003
413,Pyotr,Good,1.6000000000000003
471,Rodion,Good,1.5000000000000002
238,Amalia,Sonia,1.5000000000000002
514,Raskolnikov,Alexandrovna,1.5000000000000002
513,Raskolnikov,Pulcheria,1.5000000000000002
454,Avdotya,Alexandrovna,1.5000000000000002
453,Avdotya,Pulcheria,1.5000000000000002
467,Romanovna,Pulcheria,1.5000000000000002
468,Romanovna,Alexandrovna,1.5000000000000002
224,Katerina,Good,1.4000000000000001
165,Ivanovna,Pyotr,1.4000000000000001
158,Ivanovna,Sofya,1.4000000000000001
199,Marmeladov,Raskolnikov,1.4000000000000001
360,God,Raskolnikov,1.4000000000000001
483,Romanovitch,Good,1.4000000000000001
211,Katerina,Sofya,1.3
65,Hay,Market,1.3
445,Avdotya,Raskolnikov,1.3
459,Romanovna,Raskolnikov,1.3
506,Raskolnikov,Ilya,1.2
313,Sonia,Petrovitch,1.2
212,Katerina,Semyonovna,1.2
159,Ivanovna,Semyonovna,1.2
183,Marmeladov,Katerina,1.2
554,Dmitri,Prokofitch,1.2
250,Amalia,Raskolnikov,1.2
155,Ivanovna,Marmeladov,1.2
427,Petrovitch,Rodion,1.2
219,Katerina,Petrovitch,1.0999999999999999
218,Katerina,Pyotr,1.0999999999999999
428,Petrovitch,Romanovitch,1.0999999999999999
477,Rodion,Porfiry,1.0999999999999999
262,Sofya,Sonia,1.0999999999999999
489,Romanovitch,Porfiry,1.0999999999999999
525,Nikodim,Fomitch,1.0999999999999999
312,Sonia,Pyotr,0.9999999999999999
126,Alyona,Ivanovna,0.9999999999999999
285,Semyonovna,Sonia,0.9999999999999999
187,Marmeladov,Sonia,0.9999999999999999
425,Petrovitch,Avdotya,0.9999999999999999
426,Petrovitch,Romanovna,0.9999999999999999
409,Pyotr,Avdotya,0.8999999999999999
423,Pyotr,Alexandrovna,0.8999999999999999
85,Hay,Raskolnikov,0.8999999999999999
410,Pyotr,Romanovna,0.8999999999999999
422,Pyotr,Pulcheria,0.8999999999999999
115,Market,Raskolnikov,0.8999999999999999
438,Petrovitch,Pulcheria,0.8999999999999999
439,Petrovitch,Alexandrovna,0.8999999999999999
369,God,Alexandrovna,0.8999999999999999
368,God,Pulcheria,0.8999999999999999
458,Romanovna,Good,0.7999999999999999
444,Avdotya,Good,0.7999999999999999
244,Amalia,Petrovitch,0.7999999999999999
273,Sofya,Good,0.7999999999999999
274,Sofya,Raskolnikov,0.7999999999999999
243,Amalia,Pyotr,0.7999999999999999
296,Semyonovna,Good,0.7999999999999999
508,Raskolnikov,Fomitch,0.7999999999999999
542,Semyonovitch,Andrey,0.7999999999999999
507,Raskolnikov,Nikodim,0.7999999999999999
